data_seed,selection_grid,fold,lambda,selected_data_weight,C,selected_count,selection_k_per_class,evaluated_class_count,macro_auc,micro_auc
2048454563,20|40|60|80|100|120|140|160|180|200,1,0.001,0.01,0.0001,79,40,2,0.9889213106906706,0.9885934321418192
2048454563,20|40|60|80|100|120|140|160|180|200,1,0.001,0.1,0.0001,79,40,2,0.9889081817445812,0.9886055410248956
2048454563,20|40|60|80|100|120|140|160|180|200,1,0.001,1.0,0.0001,79,40,2,0.9889062442943056,0.9886963576479704
2048454563,20|40|60|80|100|120|140|160|180|200,1,0.005,0.01,0.0001,80,40,2,0.9890795319523474,0.988684248764894
2048454563,20|40|60|80|100|120|140|160|180|200,1,0.005,0.1,0.0001,80,40,2,0.9889816966275128,0.9886297587910492
2048454563,20|40|60|80|100|120|140|160|180|200,1,0.005,1.0,0.0001,80,40,2,0.9886275279375554,0.988454179986438
2048454563,20|40|60|80|100|120|140|160|180|200,1,0.01,0.01,0.0001,80,40,2,0.9889693980172556,0.9886539765572024
2048454563,20|40|60|80|100|120|140|160|180|200,1,0.01,0.1,0.0001,80,40,2,0.9889087353018028,0.9885813232587428
2048454563,20|40|60|80|100|120|140|160|180|200,1,0.01,1.0,0.0001,80,40,2,0.9887273007126656,0.988436016661823
2048454563,20|40|60|80|100|120|140|160|180|200,1,0.025,0.01,0.0001,80,40,2,0.9890068474052482,0.9886600309987406
2048454563,20|40|60|80|100|120|140|160|180|200,1,0.025,0.1,0.0001,80,40,2,0.9889699515744772,0.988647922115664
2048454563,20|40|60|80|100|120|140|160|180|200,1,0.025,1.0,0.0001,80,40,2,0.9886901281032836,0.9884299622202848
2048454563,20|40|60|80|100|120|140|160|180|200,1,0.001,0.01,0.001,80,40,2,0.9900489079337677,0.9899677903710162
2048454563,20|40|60|80|100|120|140|160|180|200,1,0.001,0.1,0.001,80,40,2,0.9899871381038716,0.9899133003971714
2048454563,20|40|60|80|100|120|140|160|180|200,1,0.001,1.0,0.001,80,40,2,0.99014591292277,0.9900586069940908
2048454563,20|40|60|80|100|120|140|160|180|200,1,0.005,0.01,0.001,80,40,2,0.9900975488175742,0.9899920081371694
2048454563,20|40|60|80|100|120|140|160|180|200,1,0.005,0.1,0.001,80,40,2,0.9900598226509708,0.9899920081371694
2048454563,20|40|60|80|100|120|140|160|180|200,1,0.005,1.0,0.001,80,40,2,0.990128632297519,0.990137314734089
2048454563,20|40|60|80|100|120|140|160|180|200,1,0.01,0.01,0.001,80,40,2,0.9900609297654136,0.9899738448125543
2048454563,20|40|60|80|100|120|140|160|180|200,1,0.01,0.1,0.001,80,40,2,0.990096441703131,0.9900222803448612
2048454563,20|40|60|80|100|120|140|160|180|200,1,0.01,1.0,0.001,80,40,2,0.9901543366324762,0.9901433691756274
2048454563,20|40|60|80|100|120|140|160|180|200,1,0.025,0.01,0.001,80,40,2,0.9900732283756708,0.9899798992540928
2048454563,20|40|60|80|100|120|140|160|180|200,1,0.025,0.1,0.001,80,40,2,0.9900967184817416,0.9900162259033228
2048454563,20|40|60|80|100|120|140|160|180|200,1,0.025,1.0,0.001,80,40,2,0.9901551669683084,0.990155478058704
2048454563,20|40|60|80|100|120|140|160|180|200,1,0.001,0.01,0.01,78,40,2,0.992345547059888,0.9923895669863412
2048454563,20|40|60|80|100|120|140|160|180|200,1,0.001,0.1,0.01,78,40,2,0.992431083774466,0.9924198391940328
2048454563,20|40|60|80|100|120|140|160|180|200,1,0.001,1.0,0.01,78,40,2,0.9925174508248756,0.9924137847524944
2048454563,20|40|60|80|100|120|140|160|180|200,1,0.005,0.01,0.01,80,40,2,0.9923335252282416,0.9923956214278796
2048454563,20|40|60|80|100|120|140|160|180|200,1,0.005,0.1,0.01,80,40,2,0.9924671492694046,0.9925046013755692
2048454563,20|40|60|80|100|120|140|160|180|200,1,0.005,1.0,0.01,80,40,2,0.9925149598173788,0.9926075268817204
2048454563,20|40|60|80|100|120|140|160|180|200,1,0.01,0.01,0.01,80,40,2,0.99230975834356,0.9923653492201878
2048454563,20|40|60|80|100|120|140|160|180|200,1,0.01,0.1,0.01,80,40,2,0.9923338020068524,0.992383512544803
2048454563,20|40|60|80|100|120|140|160|180|200,1,0.01,1.0,0.01,80,40,2,0.992345547059888,0.9923895669863412
2048454563,20|40|60|80|100|120|140|160|180|200,1,0.025,0.01,0.01,80,40,2,0.99230975834356,0.9923714036617262
2048454563,20|40|60|80|100|120|140|160|180|200,1,0.025,0.1,0.01,80,40,2,0.9923217801752062,0.9923895669863412
2048454563,20|40|60|80|100|120|140|160|180|200,1,0.025,1.0,0.01,80,40,2,0.9924797246582724,0.9924985469340308
2048454563,20|40|60|80|100|120|140|160|180|200,1,0.001,0.01,0.1,79,40,2,0.993059540363401,0.9930737188801704
2048454563,20|40|60|80|100|120|140|160|180|200,1,0.001,0.1,0.1,79,40,2,0.9930120065940374,0.9929163034001744
2048454563,20|40|60|80|100|120|140|160|180|200,1,0.001,1.0,0.1,79,40,2,0.9921711522874032,0.9920626271432724
2048454563,20|40|60|80|100|120|140|160|180|200,1,0.005,0.01,0.1,80,40,2,0.9930950523011184,0.9931160999709386
2048454563,20|40|60|80|100|120|140|160|180|200,1,0.005,0.1,0.1,80,40,2,0.9931562685737928,0.9931584810617068
2048454563,20|40|60|80|100|120|140|160|180|200,1,0.005,1.0,0.1,80,40,2,0.993377090001198,0.9933280054247796
2048454563,20|40|60|80|100|120|140|160|180|200,1,0.01,0.01,0.1,80,40,2,0.993083030469472,0.9931160999709386
2048454563,20|40|60|80|100|120|140|160|180|200,1,0.01,0.1,0.1,80,40,2,0.9930950523011184,0.9931524266201686
