run,model,test_image_count,evaluated_class_count,selection_k_per_class,selected_unique_image_count,macro_auc,micro_auc,macro_accuracy,micro_accuracy,exact_match_accuracy,macro_precision,micro_precision,macro_recall,micro_recall,macro_f1,micro_f1,mean_decision_threshold,min_decision_threshold,max_decision_threshold,random_seed,classes,lambda,selected_data_weight,C
1,M_0,5000,2,0,0,0.8824928050298806,0.884357113641104,0.8386,0.8386,0.7002,0.32154266792589226,0.3148237566393047,0.7816311239193083,0.7697756788665879,0.45560576653117024,0.4468814256339959,0.46811793803153534,0.4248547062648013,0.5113811697982694,3221451270,bowl|fork,0.001,1.0,0.01
1,M_1,5000,2,160,320,0.9165897408185726,0.9205704260678785,0.9043,0.9043,0.8296,0.45865498153722245,0.45852187028657615,0.7389538904899136,0.717827626918536,0.5611214517588932,0.5595950299125633,0.43192217640841724,0.3672898658843772,0.4965544869324573,3221451270,bowl|fork,0.001,1.0,0.01
1,M_rand,5000,2,160,320,0.8184751023026884,0.8148520281799981,0.6936,0.6936,0.423,0.18553351573187415,0.18445772843723313,0.7789538904899136,0.7650531286894924,0.297282357449124,0.29724770642201837,0.4793326482090432,0.4416150627895836,0.5170502336285028,3221451270,bowl|fork,0.001,1.0,0.01
2,M_0,5000,2,0,0,0.9755753267427171,0.9764251690537021,0.9371,0.9371,0.8776,0.5051707061291074,0.5029838022165388,0.929406850459482,0.9276729559748428,0.652390742610443,0.652294085129906,0.468144729162315,0.3515681537605861,0.5847213045640439,4139436046,cow|horse,0.001,1.0,0.01
2,M_1,5000,2,80,160,0.9804367726962866,0.9810823735489053,0.9831000000000001,0.9831,0.9688,0.8630907142161162,0.8642745709828393,0.871046664279747,0.8710691823899371,0.8665928768201495,0.8676585747846516,0.6154093705520332,0.5961822174150664,0.6346365236889999,4139436046,cow|horse,0.001,1.0,0.01
2,M_rand,5000,2,80,160,0.9583712459422201,0.9581214285138587,0.8851,0.8851,0.7738,0.3507224062652434,0.3452021726010863,0.8999880654015993,0.89937106918239,0.5039593900755426,0.4989097252507632,0.5961867476819604,0.5899774972867892,0.6023959980771318,4139436046,cow|horse,0.001,1.0,0.01
3,M_0,5000,2,0,0,0.9729677351614883,0.9789126530678526,0.8821,0.8821,0.765,0.40348943013422356,0.3439635535307517,0.9553416211845562,0.9572107765451664,0.547494417614374,0.5060745705906996,0.5277426891925108,0.527576940663808,0.5279084377212135,1838348372,teddy bear|pizza,0.0001,1.0,0.01
3,M_1,5000,2,120,233,0.9776826509440597,0.981707722419369,0.9216,0.9216,0.844,0.49960993730013814,0.44312267657992566,0.9420911663634526,0.9445324881141046,0.6337861428256115,0.6032388663967612,0.44443581755108585,0.4121144783864272,0.4767571567157446,1838348372,teddy bear|pizza,0.0001,1.0,0.01
3,M_rand,5000,2,120,233,0.9655453555155246,0.9710337172578617,0.7574000000000001,0.7574,0.5188,0.2783495108239608,0.20172814888667331,0.9609915100060642,0.9619651347068146,0.4088805711731112,0.3335164835164835,0.505040429026451,0.4246346143906411,0.5854462436622608,1838348372,teddy bear|pizza,0.0001,1.0,0.01
4,M_0,5000,2,0,0,0.7950714356938648,0.7953476634050881,0.6745,0.6745,0.3808,0.1809879966381967,0.18113612004287247,0.7719427543958686,0.7725714285714286,0.29322670311009846,0.2934664640764055,0.44570318491994243,0.41715137945300096,0.4742549903868839,626351931,bench|backpack,0.01,1.0,0.001
4,M_1,5000,2,140,280,0.800115982231117,0.8006641722113503,0.6468,0.6468,0.3366,0.1775872648149735,0.17108195097796483,0.7902606159443015,0.7897142857142857,0.2879318779428851,0.28123728123728126,0.3783059530131056,0.3421602536297883,0.4144516523964229,626351931,bench|backpack,0.01,1.0,0.001
4,M_rand,5000,2,140,280,0.7805656509739672,0.7808847906066536,0.6279,0.6279,0.2918,0.16875120138100133,0.16279620853080567,0.7857863430136528,0.7851428571428571,0.2759142486483206,0.26967615309126597,0.46676457335600174,0.4170550091318612,0.5164741375801423,626351931,bench|backpack,0.01,1.0,0.001
5,M_0,5000,2,0,0,0.9446100858152909,0.9464708441031559,0.7291,0.7291,0.4638,0.21634257215652566,0.19498357718722006,0.979865893439652,0.9804804804804805,0.3482479502846102,0.325280199252802,0.32730276684699855,0.18392703596191856,0.4706784977320786,2295939584,fork|suitcase,0.0001,1.0,0.001
5,M_1,5000,2,40,77,0.9461936794614205,0.9485216950398009,0.748,0.748,0.4988,0.2678958237971837,0.20477707006369428,0.9656125407756433,0.9654654654654654,0.40037216473478876,0.3378875459800315,0.3811242908457245,0.3110652639610709,0.4511833177303781,2295939584,fork|suitcase,0.0001,1.0,0.001
5,M_rand,5000,2,40,77,0.9423596517640986,0.9460413381026195,0.7433000000000001,0.7433,0.4884,0.24042049686854405,0.20250391236306728,0.9710221094599492,0.9714714714714715,0.37432178520911186,0.33514633514633513,0.46549528746507096,0.44957724738180127,0.4814133275483407,2295939584,fork|suitcase,0.0001,1.0,0.001
6,M_0,5000,2,0,0,0.9181427666252482,0.917403145582799,0.6972,0.6972,0.3972,0.25672726002759005,0.24734982332155478,0.9542897816048054,0.9551656920077972,0.40408176862179107,0.39294306335204493,0.4381249353162302,0.4373301101017159,0.4389197605307445,4293794372,car|spoon,0.001,10.0,0.001
6,M_1,5000,2,40,80,0.9167568562618997,0.9168435910368745,0.6602,0.6602,0.3404,0.24009869099154812,0.22697974217311234,0.9586125481754105,0.9610136452241715,0.3830343124259087,0.36722532588454376,0.14296141233115245,0.13950948887962936,0.14641333578267557,4293794372,car|spoon,0.001,10.0,0.001
6,M_rand,5000,2,40,80,0.8819372249516826,0.8719654049319868,0.6769000000000001,0.6769,0.3614,0.24557560176342258,0.2318170761371929,0.9246250130203812,0.928849902534113,0.3869304831049664,0.37103367724352737,0.5418949377571931,0.41192111005962057,0.6718687654547656,4293794372,car|spoon,0.001,10.0,0.001
7,M_0,5000,2,0,0,0.9375209426508522,0.9387292208630839,0.7443,0.7443,0.497,0.3002023323400655,0.291164095371669,0.9753824512045015,0.9719101123595506,0.4587191308203228,0.4480897906324196,0.321829879337162,0.28688382191967227,0.3567759367546517,3221557461,car|fork,0.0001,1.0,0.01
7,M_1,5000,2,20,36,0.9384900162034042,0.9394691015429102,0.781,0.781,0.5662,0.32337029223604846,0.3219047619047619,0.9583611746087568,0.949438202247191,0.4835545239739866,0.48079658605974396,0.3328550753443955,0.24622719973356966,0.41948295095522137,3221557461,car|fork,0.0001,1.0,0.01
7,M_rand,5000,2,20,36,0.9357230976104571,0.9365109415961798,0.7387999999999999,0.7388,0.4854,0.29466107456599167,0.2860310421286031,0.9711271320555653,0.9662921348314607,0.4518189899602708,0.4414029084687767,0.3735048766061494,0.3725414521510697,0.3744683010612291,3221557461,car|fork,0.0001,1.0,0.01
8,M_0,5000,2,0,0,0.9048650710116647,0.9357778586985133,0.8147,0.8147,0.6626,0.5277585303721459,0.6434072345390899,0.8514357985289953,0.8945489941596366,0.6144121701975395,0.7484729197773856,0.4001304066071398,0.3481292657512262,0.45213154746305334,3212048256,person|potted plant,0.0001,1.0,0.01
