averaging,model,false_positive_rate,mean_true_positive_rate,ci95_low,ci95_high,run_count
macro,M_0,0.0,0.0,0.0,0.0,10
macro,M_0,0.001,0.2864061509712018,0.1041244555171015,0.46868784642530215,10
macro,M_0,0.002,0.3341920943615189,0.1471025401393127,0.5212816485837252,10
macro,M_0,0.003,0.3637090922154277,0.17280011592980624,0.5546180685010491,10
macro,M_0,0.004,0.38930563193690504,0.20171498891203724,0.5768962749617729,10
macro,M_0,0.005,0.40767038917529047,0.22193614359592193,0.593404634754659,10
macro,M_0,0.006,0.4228196320114689,0.23918696730386657,0.6064522967190712,10
macro,M_0,0.007,0.44193393533361186,0.26017321475659466,0.6236946559106291,10
macro,M_0,0.008,0.4567233683075661,0.27775632643857406,0.6356904101765581,10
macro,M_0,0.009,0.46802211957152273,0.29200623174786594,0.6440380073951795,10
macro,M_0,0.01,0.4817342820320637,0.30813355431373646,0.6553350097503909,10
macro,M_0,0.011,0.4904821150522163,0.31703167261954834,0.6639325574848842,10
macro,M_0,0.012,0.49986679336033724,0.32830753515625577,0.6714260515644187,10
macro,M_0,0.013,0.5085868321848004,0.33819067071898934,0.6789829936506114,10
macro,M_0,0.014,0.5187920554220284,0.3514081253364765,0.6861759855075804,10
macro,M_0,0.015,0.5264194760854194,0.35948927840629735,0.6933496737645415,10
macro,M_0,0.016,0.5353332782110757,0.3707940753614129,0.6998724810607384,10
macro,M_0,0.017,0.5444885229812788,0.3819429091211427,0.7070341368414149,10
macro,M_0,0.018,0.5526900305670486,0.39308429364824093,0.7122957674858562,10
macro,M_0,0.019,0.5629019107496263,0.4050181484201424,0.7207856730791101,10
macro,M_0,0.02,0.5708380747362168,0.4162106233507513,0.7254655261216824,10
macro,M_0,0.021,0.5771758533431853,0.42472317927289305,0.7296285274134776,10
macro,M_0,0.022,0.5842985020587149,0.433574581489405,0.7350224226280249,10
macro,M_0,0.023,0.5900118632648023,0.439159036730108,0.7408646897994966,10
macro,M_0,0.024,0.594965663021694,0.4453488495589848,0.7445824764844031,10
macro,M_0,0.025,0.6022839775009994,0.45479099130941947,0.7497769636925793,10
macro,M_0,0.026,0.608163618393008,0.461190030319827,0.755137206466189,10
macro,M_0,0.027,0.6148064877036999,0.4692561762386336,0.7603567991687663,10
macro,M_0,0.028,0.6192735043139123,0.473830086773727,0.7647169218540975,10
macro,M_0,0.029,0.6233872950410575,0.4792473240059868,0.7675272660761282,10
macro,M_0,0.03,0.6303800006000341,0.48761369910846764,0.7731463020916005,10
macro,M_0,0.031,0.6357098040295941,0.4958078258251497,0.7756117822340385,10
macro,M_0,0.032,0.6407218202959326,0.5006849575161116,0.7807586830757536,10
macro,M_0,0.033,0.6458562131119131,0.50739828155221,0.7843141446716162,10
macro,M_0,0.034,0.6493844110550002,0.511737693191938,0.7870311289180625,10
macro,M_0,0.035,0.6538636287475692,0.5177603545686744,0.789966902926464,10
macro,M_0,0.036,0.6591344851893244,0.5243387352343823,0.7939302351442664,10
macro,M_0,0.037,0.6632178213579631,0.5291190416253131,0.7973166010906132,10
macro,M_0,0.038,0.6683237253134726,0.5366851846473859,0.7999622659795593,10
macro,M_0,0.039,0.6734030119097884,0.541984115813568,0.8048219080060087,10
macro,M_0,0.04,0.6756213810284304,0.5445095660754218,0.806733195981439,10
macro,M_0,0.041,0.6795696044869468,0.5495729456524154,0.8095662633214782,10
macro,M_0,0.042,0.6824537970326529,0.5529170112721455,0.8119905827931602,10
macro,M_0,0.043,0.6864788134386294,0.5576857279436481,0.8152718989336106,10
macro,M_0,0.044,0.6894673172619165,0.5620063594230978,0.8169282751007351,10
macro,M_0,0.045,0.694056090644721,0.5678001118997786,0.8203120693896633,10
macro,M_0,0.046,0.6956790294001841,0.569823479469173,0.8215345793311952,10
macro,M_0,0.047,0.6990853505769208,0.5744469133533866,0.823723787800455,10
macro,M_0,0.048,0.7018195910729108,0.5780280383663402,0.8256111437794814,10
macro,M_0,0.049,0.704505748733942,0.5817392432381101,0.8272722542297739,10
macro,M_0,0.05,0.7065188245020647,0.5840414787523523,0.8289961702517771,10
macro,M_0,0.051,0.7094562593204475,0.5878355701601122,0.8310769484807828,10
macro,M_0,0.052,0.7123738694540039,0.5916710119337237,0.8330767269742841,10
macro,M_0,0.053,0.7154462070846351,0.5950859232979763,0.835806490871294,10
macro,M_0,0.054,0.7193196375577775,0.5991212664735449,0.8395180086420101,10
macro,M_0,0.055,0.72196391554626,0.6034413282777786,0.8404865028147415,10
macro,M_0,0.056,0.7255965769784256,0.608929214804644,0.8422639391522072,10
macro,M_0,0.057,0.7277519343721759,0.6119986233252063,0.8435052454191455,10
macro,M_0,0.058,0.7314906992217549,0.6154991543058979,0.847482244137612,10
macro,M_0,0.059,0.7332362118965594,0.6179491686128651,0.8485232551802537,10
macro,M_0,0.06,0.7352944636216873,0.6204451915346787,0.8501437357086958,10
macro,M_0,0.061,0.7367970926894649,0.6225685464922548,0.851025638886675,10
macro,M_0,0.062,0.7391333717990781,0.6256505215031424,0.8526162220950139,10
macro,M_0,0.063,0.7428590781617236,0.6293904487856573,0.8563277075377899,10
macro,M_0,0.064,0.7449062532767463,0.6326047918498555,0.8572077147036371,10
macro,M_0,0.065,0.7480641633090821,0.6365646735587196,0.8595636530594446,10
macro,M_0,0.066,0.7493404987178582,0.6381618260920938,0.8605191713436227,10
macro,M_0,0.067,0.7514425529521155,0.6406513320578915,0.8622337738463395,10
macro,M_0,0.068,0.7530468858003602,0.6432797513830167,0.8628140202177036,10
macro,M_0,0.069,0.7544607926758025,0.6455767997386909,0.8633447856129141,10
macro,M_0,0.07,0.7559525925829744,0.6468825564270932,0.8650226287388556,10
macro,M_0,0.071,0.7572668201953504,0.648481315273181,0.8660523251175198,10
macro,M_0,0.072,0.7600558354336981,0.6520493551843793,0.868062315683017,10
macro,M_0,0.073,0.7619323581759401,0.6546954857636211,0.869169230588259,10
macro,M_0,0.074,0.7645392933387274,0.6581675434208116,0.8709110432566431,10
macro,M_0,0.075,0.7665664742644129,0.6601845827300651,0.8729483657987608,10
macro,M_0,0.076,0.7683979807389985,0.6620466506941426,0.8747493107838543,10
macro,M_0,0.077,0.7710472993663962,0.6655573799809731,0.8765372187518192,10
macro,M_0,0.078,0.7729352803819715,0.6679020462668602,0.8779685144970827,10
macro,M_0,0.079,0.7744181730209616,0.6700304223175207,0.8788059237244025,10
macro,M_0,0.08,0.7768639715926506,0.6725959044859131,0.8811320386993882,10
macro,M_0,0.081,0.7790876238994606,0.6759788150742709,0.8821964327246503,10
macro,M_0,0.082,0.7809699522349701,0.6781392331922579,0.8838006712776824,10
macro,M_0,0.083,0.7827148203534535,0.6806966279187461,0.884733012788161,10
macro,M_0,0.084,0.7841851548956283,0.6825648287687256,0.8858054810225311,10
macro,M_0,0.085,0.7859367534767159,0.6846338127111888,0.8872396942422429,10
macro,M_0,0.086,0.7875469930335383,0.6869917855340373,0.8881022005330392,10
macro,M_0,0.087,0.7894503279969519,0.6893528631756171,0.8895477928182868,10
macro,M_0,0.088,0.7903252272604214,0.690601132219549,0.8900493223012939,10
macro,M_0,0.089,0.7925925588008239,0.694257265787188,0.8909278518144598,10
macro,M_0,0.09,0.794755249284879,0.6973934255316071,0.8921170730381508,10
macro,M_0,0.091,0.7955584753853306,0.698233879686889,0.8928830710837723,10
macro,M_0,0.092,0.7967137129629485,0.6998005730042437,0.8936268529216532,10
macro,M_0,0.093,0.7989892363520679,0.7030555924001455,0.8949228803039903,10
macro,M_0,0.094,0.8002660960237744,0.7042637283091089,0.8962684637384399,10
macro,M_0,0.095,0.8017196024190432,0.7064292581596714,0.8970099466784149,10
macro,M_0,0.096,0.8035377018909079,0.7078362501186147,0.8992391536632011,10
macro,M_0,0.097,0.8047536350783322,0.7089990701199658,0.9005082000366986,10
macro,M_0,0.098,0.8068423696279441,0.7118722924197292,0.901812446836159,10
macro,M_0,0.099,0.8076489205381774,0.7129319626658415,0.9023658784105133,10
macro,M_0,0.1,0.8091223193015381,0.7155202636355595,0.9027243749675167,10
macro,M_0,0.101,0.8100478413078847,0.7167082902164665,0.9033873923993028,10
macro,M_0,0.102,0.8116087638616067,0.718200095458325,0.9050174322648885,10
macro,M_0,0.103,0.813157861354464,0.720172661793413,0.906143060915515,10
macro,M_0,0.104,0.8145009033957569,0.7220816329441061,0.9069201738474076,10
macro,M_0,0.105,0.8160147340870532,0.7238251462950709,0.9082043218790354,10
macro,M_0,0.106,0.8174538766328219,0.7253308274517946,0.9095769258138492,10
macro,M_0,0.107,0.8189359017394979,0.7276622301588063,0.9102095733201896,10
macro,M_0,0.108,0.8199880283497933,0.7289143559571243,0.9110617007424624,10
macro,M_0,0.109,0.8206804839372518,0.7296952100936691,0.9116657577808345,10
macro,M_0,0.11,0.8220762681610555,0.7315036065498124,0.9126489297722986,10
macro,M_0,0.111,0.823262785594389,0.7332892743207784,0.9132362968679997,10
macro,M_0,0.112,0.8243469330610853,0.7347238711399392,0.9139699949822314,10
macro,M_0,0.113,0.8250700766535186,0.735358998943865,0.9147811543631722,10
macro,M_0,0.114,0.8270161947401536,0.7374135287869202,0.916618860693387,10
macro,M_0,0.115,0.8277681436722993,0.7384563581566153,0.9170799291879834,10
macro,M_0,0.116,0.8286158841195554,0.7395853923471025,0.9176463758920084,10
macro,M_0,0.117,0.8292019386141793,0.7401934874327458,0.9182103897956129,10
macro,M_0,0.118,0.8302308359099335,0.7416872173014651,0.9187744545184019,10
macro,M_0,0.119,0.8317976285328481,0.7436303866725653,0.9199648703931309,10
macro,M_0,0.12,0.8330289680132758,0.7452409968170531,0.9208169392094984,10
macro,M_0,0.121,0.8338694236413454,0.7467131502244752,0.9210256970582157,10
macro,M_0,0.122,0.8348463722177494,0.748018714301959,0.9216740301335398,10
macro,M_0,0.123,0.8358267022143989,0.74936122146485,0.9222921829639479,10
macro,M_0,0.124,0.8365517813736412,0.7502171853686036,0.9228863773786787,10
macro,M_0,0.125,0.8368736208544266,0.750436163102668,0.9233110786061852,10
macro,M_0,0.126,0.8376960953426942,0.7513450854852908,0.9240471052000976,10
macro,M_0,0.127,0.8383007689397204,0.7521415890165682,0.9244599488628725,10
macro,M_0,0.128,0.8399633744998939,0.7539838863025585,0.9259428626972293,10
macro,M_0,0.129,0.8409916373864176,0.7547905130319972,0.927192761740838,10
macro,M_0,0.13,0.8415332611775019,0.7555178248930865,0.9275486974619174,10
macro,M_0,0.131,0.8422190871793058,0.7564052025471553,0.9280329718114564,10
macro,M_0,0.132,0.8427307155088973,0.7573783936097331,0.9280830374080615,10
macro,M_0,0.133,0.8434182859561622,0.7585214485763836,0.9283151233359408,10
macro,M_0,0.134,0.8444758417681685,0.7594858055927939,0.9294658779435431,10
macro,M_0,0.135,0.8457300736449763,0.7609674031807508,0.9304927441092018,10
macro,M_0,0.136,0.8461860226872627,0.7617742377460681,0.9305978076284573,10
macro,M_0,0.137,0.846785357355117,0.7623751491599667,0.9311955655502672,10
macro,M_0,0.138,0.8482340663247578,0.7639895928787195,0.9324785397707962,10
macro,M_0,0.139,0.8491213800495769,0.765395043908271,0.9328477161908829,10
macro,M_0,0.14,0.8498674342907243,0.7661354871985514,0.9335993813828972,10
macro,M_0,0.141,0.8505446366973513,0.7674271090272815,0.933662164367421,10
macro,M_0,0.142,0.8508797040671772,0.7678774103534064,0.9338819977809479,10
macro,M_0,0.143,0.8514143551641113,0.7686520843824213,0.9341766259458014,10
macro,M_0,0.144,0.852312404729954,0.7699157287370372,0.9347090807228707,10
