probability_bin,selected_count,mean_predicted_probability,observed_positive_fraction,ci95_low,ci95_high,overall_brier_score,overall_ece
"(-0.001, 0.1]",3,0.0728912219219358,0.0,5.551115123125783e-17,0.5614970317550454,0.27429956526607757,0.4217246929828955
"(0.1, 0.2]",8,0.13979822666517944,0.0,0.0,0.32440756488388023,0.27429956526607757,0.4217246929828955
"(0.2, 0.3]",3,0.23044099056885123,0.0,5.551115123125783e-17,0.5614970317550454,0.27429956526607757,0.4217246929828955
"(0.3, 0.4]",1,0.3169075526101882,0.0,0.0,0.7934506856227626,0.27429956526607757,0.4217246929828955
"(0.4, 0.5]",4,0.450496399147289,0.0,0.0,0.4898908364545973,0.27429956526607757,0.4217246929828955
"(0.5, 0.6]",1,0.5148171585239653,0.0,0.0,0.7934506856227626,0.27429956526607757,0.4217246929828955
"(0.6, 0.7]",8,0.6394122226993231,0.0,0.0,0.32440756488388023,0.27429956526607757,0.4217246929828955
"(0.7, 0.8]",4,0.7472946932345722,0.0,0.0,0.4898908364545973,0.27429956526607757,0.4217246929828955
"(0.8, 0.9]",5,0.8621121964954053,0.2,0.03622410863243014,0.6244653702374747,0.27429956526607757,0.4217246929828955
"(0.9, 1.0]",3,0.930619141262938,0.6666666666666666,0.2076596008020477,0.9385080552796037,0.27429956526607757,0.4217246929828955
